pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
PID_TXA2PATHWAY,1.74E-05,57,3,ADRBK1  PRKCQ  PRKCZ,1,1,2
BIOCARTA_PTDINS_PATHWAY,0.000191399,23,2,PRKCZ  RPS6KB1,1,0,2
PID_IGF1_PATHWAY,0.000327859,30,2,PRKCZ  RPS6KB1,1,0,2
PID_IL2_PI3KPATHWAY,0.000421924,34,2,PRKCZ  RPS6KB1,1,0,2
KEGG_ENDOCYTOSIS,0.000555735,183,3,ADRBK1  GIT2  PRKCZ,1,0,2
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.00058476,40,2,MAPT  PRKCQ,1,0,2
PID_AMB2_NEUTROPHILS_PATHWAY,0.00061442,41,2,PRKCZ  SELPLG,1,0,2
PID_INSULIN_PATHWAY,0.00074022,45,2,PRKCZ  RPS6KB1,1,0,2
PID_RHOA_PATHWAY,0.00074022,45,2,MSN  PRKCZ,1,0,2
PID_NFAT_3PATHWAY,0.001064837,54,2,PRKCQ  PRKCZ,1,0,2
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.001064837,54,2,MAPT  PRKCQ,1,0,2
PID_CDC42_PATHWAY,0.001781803,70,2,PRKCZ  RPS6KB1,1,0,2
PID_CXCR4_PATHWAY,0.003736267,102,2,ADRBK1  PRKCZ,1,0,2
PID_ERBB1_DOWNSTREAM_PATHWAY,0.003954085,105,2,PEBP1  PRKCZ,1,0,2
KEGG_TIGHT_JUNCTION,0.006354538,134,2,PRKCQ  PRKCZ,1,0,2
KEGG_INSULIN_SIGNALING_PATHWAY,0.006632766,137,2,PRKCZ  RPS6KB1,1,0,2
REACTOME_APOPTOSIS,0.007699744,148,2,MAPT  PRKCQ,1,0,2
BIOCARTA_IL4_PATHWAY,0.009858024,11,1,RPS6KB1,1,0,2
BIOCARTA_P35ALZHEIMERS_PATHWAY,0.009858024,11,1,MAPT,1,0,2
PID_P38GAMMADELTAPATHWAY,0.009858024,11,1,MAPT,1,0,2
REACTOME_MTORC1_MEDIATED_SIGNALLING,0.009858024,11,1,RPS6KB1,1,0,2
KEGG_ALZHEIMERS_DISEASE,0.009936891,169,2,APOE  MAPT,1,0,2
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,0.011640502,13,1,MAPT,1,0,2
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,0.011691395,184,2,ADRBK1  PRKCQ,1,0,2
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.012428836,190,2,ADRBK1  PRKCZ,1,0,2
BIOCARTA_GRANULOCYTES_PATHWAY,0.012530604,14,1,SELPLG,1,0,2
REACTOME_METABOLISM_OF_PORPHYRINS,0.012530604,14,1,HMOX2,1,0,2
