pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,0.000114172,51,3,SORBS1  YWHAE  YWHAZ,1,0,1
KEGG_ADHERENS_JUNCTION,0.000359069,75,3,ACTB  SORBS1  WASF3,1,0,1
PID_P38_MK2PATHWAY,0.000684008,21,2,YWHAE  YWHAZ,1,0,1
PID_ERBB1_DOWNSTREAM_PATHWAY,0.000959542,105,3,MAPK7  YWHAE  YWHAZ,1,0,1
PID_INSULIN_GLUCOSE_PATHWAY,0.001052437,26,2,YWHAE  YWHAZ,1,0,1
PID_IGF1_PATHWAY,0.001402102,30,2,YWHAE  YWHAZ,1,0,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.001622298,126,3,MAPK7  YWHAE  YWHAZ,1,0,1
PID_PI3KCIAKTPATHWAY,0.001906691,35,2,YWHAE  YWHAZ,1,0,1
PID_PI3KPLCTRKPATHWAY,0.002016503,36,2,YWHAE  YWHAZ,1,0,1
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY,0.002129253,37,2,YWHAE  YWHAZ,1,0,1
BIOCARTA_CHREBP2_PATHWAY,0.002736727,42,2,YWHAE  YWHAZ,1,0,1
PID_A6B1_A6B4_INTEGRIN_PATHWAY,0.003274536,46,2,YWHAE  YWHAZ,1,0,1
PID_LKB1_PATHWAY,0.0034161,47,2,YWHAE  YWHAZ,1,0,1
PID_FOXOPATHWAY,0.003707688,49,2,YWHAE  YWHAZ,1,0,1
PID_NFAT_3PATHWAY,0.004485533,54,2,YWHAE  YWHAZ,1,0,1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.005332174,59,2,ACTB  YWHAZ,1,0,1
KEGG_RNA_DEGRADATION,0.005332174,59,2,ENO3  RQCD1,1,0,1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.006630648,66,2,ARIH1  FLNB,1,0,1
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,0.00682675,67,2,YWHAE  YWHAZ,1,0,1
PID_MTOR_4PATHWAY,0.007226808,69,2,YWHAE  YWHAZ,1,0,1
PID_BETACATENIN_NUC_PATHWAY,0.009611093,80,2,YWHAE  YWHAZ,1,0,1
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,0.01835084,10,1,AP1S2,1,0,1
KEGG_OOCYTE_MEIOSIS,0.018835689,114,2,YWHAE  YWHAZ,1,0,1
BIOCARTA_FIBRINOLYSIS_PATHWAY,0.021981486,12,1,PLAT,1,0,1
REACTOME_ERKS_ARE_INACTIVATED,0.021981486,12,1,MAPK7,1,0,1
KEGG_CELL_CYCLE,0.02338879,128,2,YWHAE  YWHAZ,1,0,1
PID_PDGFRBPATHWAY,0.02372979,129,2,YWHAE  YWHAZ,1,0,1
BIOCARTA_PLATELETAPP_PATHWAY,0.025599066,14,1,PLAT,1,0,1
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP,0.031001037,17,1,YWHAZ,1,0,1
REACTOME_RAP1_SIGNALLING,0.031001037,17,1,YWHAZ,1,0,1
BIOCARTA_ERK5_PATHWAY,0.03279521,18,1,MAPK7,1,0,1
BIOCARTA_TID_PATHWAY,0.034586151,19,1,DNAJA3,1,0,1
REACTOME_INTERFERON_SIGNALING,0.034880294,159,2,ARIH1  FLNB,1,0,1
BIOCARTA_ACTINY_PATHWAY,0.036373865,20,1,WASF3,1,0,1
BIOCARTA_AMI_PATHWAY,0.036373865,20,1,PLAT,1,0,1
REACTOME_ERK_MAPK_TARGETS,0.038158358,21,1,MAPK7,1,0,1
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,0.038158358,21,1,AP1S2,1,0,1
REACTOME_DEADENYLATION_OF_MRNA,0.039939635,22,1,RQCD1,1,0,1
REACTOME_SIGNALING_BY_HIPPO,0.039939635,22,1,YWHAE,1,0,1
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,0.041717703,23,1,AP1S2,1,0,1
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER,0.041717703,23,1,GTF3C4,1,0,1
ST_GA12_PATHWAY,0.041717703,23,1,MAPK7,1,0,1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.043492566,24,1,NADK,1,0,1
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.043492566,24,1,MAPK7,1,0,1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.045264231,25,1,NR5A2,1,0,1
PID_MYC_PATHWAY,0.045264231,25,1,RUVBL1,1,0,1
REACTOME_SMOOTH_MUSCLE_CONTRACTION,0.045264231,25,1,SORBS1,1,0,1
PID_IL3_PATHWAY,0.048797987,27,1,YWHAZ,1,0,1
REACTOME_EXTENSION_OF_TELOMERES,0.048797987,27,1,RUVBL1,1,0,1
PID_LIS1PATHWAY,0.05056009,28,1,YWHAE,1,0,1
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,0.05056009,28,1,ACTB,1,0,1
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS,0.05056009,28,1,AP1S2,1,0,1
PID_INTEGRIN2_PATHWAY,0.052319016,29,1,PLAT,1,0,1
REACTOME_GLYCOLYSIS,0.052319016,29,1,ENO3,1,0,1
KEGG_FOCAL_ADHESION,0.053196937,201,2,ACTB  FLNB,1,0,1
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,0.054074772,30,1,MAPK7,1,0,1
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,0.054074772,30,1,NR5A2,1,0,1
BIOCARTA_HDAC_PATHWAY,0.057576793,32,1,MAPK7,1,0,1
PID_INTEGRIN_A4B1_PATHWAY,0.05932307,33,1,YWHAZ,1,0,1
REACTOME_RNA_POL_III_TRANSCRIPTION,0.05932307,33,1,GTF3C4,1,0,1
REACTOME_SIGNALLING_BY_NGF,0.060905069,217,2,MAPK7  YWHAE,1,0,1
PID_HDAC_CLASSII_PATHWAY,0.061066199,34,1,YWHAE,1,0,1
PID_MAPKTRKPATHWAY,0.061066199,34,1,MAPK7,1,0,1
REACTOME_GLUCONEOGENESIS,0.061066199,34,1,ENO3,1,0,1
PID_GMCSF_PATHWAY,0.066276748,37,1,YWHAZ,1,0,1
PID_ATR_PATHWAY,0.069734806,39,1,YWHAZ,1,0,1
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.071459159,40,1,BCAP31,1,0,1
ST_JNK_MAPK_PATHWAY,0.071459159,40,1,MAPK7,1,0,1
PID_AMB2_NEUTROPHILS_PATHWAY,0.073180403,41,1,PLAT,1,0,1
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING,0.07661358,43,1,YWHAZ,1,0,1
PID_ILK_PATHWAY,0.080034383,45,1,RUVBL1,1,0,1
PID_INSULIN_PATHWAY,0.080034383,45,1,SORBS1,1,0,1
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,0.085142479,48,1,RQCD1,1,0,1
REACTOME_MUSCLE_CONTRACTION,0.085142479,48,1,SORBS1,1,0,1
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,0.086839037,49,1,NR5A2,1,0,1
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE,0.088532534,50,1,MAPK7,1,0,1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.090222975,51,1,NADK,1,0,1
PID_CASPASE_PATHWAY,0.091910365,52,1,TFAP2A,1,0,1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0.093594711,53,1,AP1S2,1,0,1
