"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.00941228179942122,21,1,"SEC23A",1,0
"REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY",0.0120870008120735,27,1,"NUP54",1,0
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",0.0120870008120735,27,1,"NUP54",1,0
"REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS",0.0120870008120735,27,1,"NUP54",1,0
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.0134219513857391,30,1,"CLASP1",1,0
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS",0.0147552982548286,33,1,"NUP54",1,0
"REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT",0.0147552982548286,33,1,"NUP54",1,0
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.0147552982548286,33,1,"SEC23A",1,0
"KEGG_REGULATION_OF_AUTOPHAGY",0.0156433060532222,35,1,"ATG3",1,0
"REACTOME_GLUCOSE_TRANSPORT",0.0169739838272617,38,1,"NUP54",1,0
"REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS",0.0196305434214086,44,1,"RAB11FIP2",1,0
"REACTOME_METABOLISM_OF_NON_CODING_RNA",0.0218394663049412,49,1,"NUP54",1,0
"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT",0.0227217959828064,51,1,"RAB11FIP2",1,0
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",0.0240439640427698,54,1,"NUP54",1,0
"REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES",0.0262440443936381,59,1,"CLASP1",1,0
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.0293167504229843,66,1,"NUP54",1,0
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",0.0293167504229843,66,1,"CLASP1",1,0
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.0358721154716051,81,1,"SEC23A",1,0
"REACTOME_MITOTIC_G2_G2_M_PHASES",0.0358721154716051,81,1,"CLASP1",1,0
"REACTOME_MITOTIC_PROMETAPHASE",0.0384832231082458,87,1,"CLASP1",1,0
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",0.0402204675369188,91,1,"SEC23A",1,0
"REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE",0.0458472595693237,104,1,"NUP54",1,0
"REACTOME_HIV_LIFE_CYCLE",0.0548747693819412,125,1,"NUP54",1,0
"REACTOME_MEMBRANE_TRAFFICKING",0.0565856609036081,129,1,"SEC23A",1,0
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",0.0578670223259888,132,1,"NUP54",1,0
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",0.0612764263413862,140,1,"NUP54",1,0
"REACTOME_INTERFERON_SIGNALING",0.0693298458282339,159,1,"NUP54",1,0
"REACTOME_MRNA_PROCESSING",0.0701739910499002,161,1,"NUP54",1,0
"REACTOME_MITOTIC_M_M_G1_PHASES",0.0748046358543526,172,1,"CLASP1",1,0
"KEGG_ENDOCYTOSIS",0.0794147704907678,183,1,"RAB11FIP2",1,0
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",0.081503527534988,188,1,"SEC23A",1,0
"REACTOME_DNA_REPLICATION",0.0831714989124696,192,1,"CLASP1",1,0
"REACTOME_INFLUENZA_LIFE_CYCLE",0.0877445459108654,203,1,"NUP54",1,0
"REACTOME_HIV_INFECTION",0.0894024381805515,207,1,"NUP54",1,0
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",0.103386749743536,241,1,"NUP54",1,0
"REACTOME_METABOLISM_OF_CARBOHYDRATES",0.105834653408859,247,1,"NUP54",1,0
