pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
PID_AP1_PATHWAY,1.13E-10,70,5,ATF3  CCND1  FOSL2  JUN  NR3C1,1,1,4
PID_FRA_PATHWAY,6.93E-07,37,3,CCND1  FOSL2  JUN,1,1,4
PID_ATF2_PATHWAY,2.88E-06,59,3,ATF3  CCND1  JUN,1,1,4
PID_AR_PATHWAY,3.19E-06,61,3,CCND1  PRKDC  RANBP9,1,1,4
PID_SMAD2_3NUCLEARPATHWAY,7.81E-06,82,3,ATF3  JUN  NR3C1,1,1,4
BIOCARTA_TNFR1_PATHWAY,9.07E-05,29,2,JUN  PRKDC,1,0,4
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION,9.07E-05,29,2,CCND1  JUN,1,0,4
BIOCARTA_FAS_PATHWAY,9.72E-05,30,2,JUN  PRKDC,1,0,4
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,0.000210489,44,2,CCND1  JUN,1,0,4
PID_ILK_PATHWAY,0.000220221,45,2,CCND1  JUN,1,0,4
PID_PS1PATHWAY,0.000230169,46,2,CCND1  JUN,1,0,4
PID_AR_TF_PATHWAY,0.000305876,53,2,JUN  NR3C1,1,0,4
PID_FAK_PATHWAY,0.000379185,59,2,CCND1  JUN,1,0,4
KEGG_COLORECTAL_CANCER,0.00041874,62,2,CCND1  JUN,1,0,4
PID_ERA_GENOMIC_PATHWAY,0.000460224,65,2,CCND1  JUN,1,0,4
PID_RB_1PATHWAY,0.000460224,65,2,CCND1  JUN,1,0,4
PID_TELOMERASEPATHWAY,0.00050363,68,2,CCND1  JUN,1,0,4
PID_BETACATENIN_NUC_PATHWAY,0.000696393,80,2,CCND1  JUN,1,0,4
PID_MET_PATHWAY,0.000696393,80,2,JUN  RANBP9,1,0,4
PID_REG_GR_PATHWAY,0.000731483,82,2,JUN  NR3C1,1,0,4
WNT_SIGNALING,0.000860929,89,2,CCND1  JUN,1,0,4
REACTOME_SIGNALING_BY_NOTCH,0.001150561,103,2,CCND1  JUN,1,0,4
KEGG_CELL_CYCLE,0.001768433,128,2,CCND1  PRKDC,1,0,4
PID_P53DOWNSTREAMPATHWAY,0.002022047,137,2,ATF3  JUN,1,0,4
KEGG_WNT_SIGNALING_PATHWAY,0.002448936,151,2,CCND1  JUN,1,0,4
KEGG_FOCAL_ADHESION,0.004288838,201,2,CCND1  JUN,1,0,4
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.004989885,10,1,JUN,1,0,4
