"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA",0.0062839556038603,18,1,"TCEB1",1,0
"PID_HIF1APATHWAY",0.00663206952192497,19,1,"TCEB1",1,0
"BIOCARTA_CASPASE_PATHWAY",0.00802348012093168,23,1,"CASP2",1,0
"BIOCARTA_STRESS_PATHWAY",0.0087185587425882,25,1,"CASP2",1,0
"REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN",0.0087185587425882,25,1,"TCEB1",1,0
"BIOCARTA_TNFR1_PATHWAY",0.0101074636756462,29,1,"CASP2",1,0
"REACTOME_NOD1_2_SIGNALING_PATHWAY",0.0104544291633168,30,1,"CASP2",1,0
"REACTOME_ELONGATION_ARREST_AND_RECOVERY",0.011148047426714,32,1,"TCEB1",1,0
"PID_HIF2PATHWAY",0.0118412489148395,34,1,"TCEB1",1,0
"PID_HIVNEFPATHWAY",0.012187693433401,35,1,"CASP2",1,0
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_",0.0156464165641235,45,1,"TCEB1",1,0
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",0.0159917172448576,46,1,"CASP2",1,0
"PID_CASPASE_PATHWAY",0.0180613418304942,52,1,"CASP2",1,0
"REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G",0.0180613418304942,52,1,"TCEB1",1,0
"BIOCARTA_HIVNEF_PATHWAY",0.0201272341883468,58,1,"CASP2",1,0
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",0.0208150365602395,60,1,"CASP2",1,0
"REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS",0.0211587825353692,61,1,"TCEB1",1,0
"KEGG_RENAL_CELL_CARCINOMA",0.0242478446555625,70,1,"TCEB1",1,0
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",0.0249331669734323,72,1,"MED8",1,0
"PID_P73PATHWAY",0.0273285470863394,79,1,"CASP2",1,0
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",0.0280120142580418,81,1,"CASP2",1,0
"REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE",0.0358423487516446,104,1,"TCEB1",1,0
"REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION",0.0358423487516446,104,1,"MED8",1,0
"REACTOME_RNA_POL_II_TRANSCRIPTION",0.0361815678689915,105,1,"TCEB1",1,0
"REACTOME_HIV_LIFE_CYCLE",0.0429445007886826,125,1,"TCEB1",1,0
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",0.0453018976961659,132,1,"TCEB1",1,0
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.0473185604775389,138,1,"TCEB1",1,0
"REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM",0.0573471977515231,168,1,"MED8",1,0
"REACTOME_HIV_INFECTION",0.0702490454977251,207,1,"TCEB1",1,0
"REACTOME_TRANSCRIPTION",0.0712351947199004,210,1,"TCEB1",1,0
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.0718921293369618,212,1,"TCEB1",1,0
"REACTOME_SIGNALLING_BY_NGF",0.0735327236557383,217,1,"CASP2",1,0
