pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
PID_INTEGRIN1_PATHWAY,1.78E-15,66,8,COL2A1  COL6A2  FN1  ITGA1  ITGA3  ITGA5  TGFBI  TGM2,1,1,6
KEGG_ECM_RECEPTOR_INTERACTION,1.98E-12,84,7,COL2A1  COL6A2  FN1  ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.62E-10,79,6,COL2A1  FN1  ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
KEGG_FOCAL_ADHESION,9.63E-10,201,7,COL2A1  COL6A2  FN1  ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
PID_INTEGRIN_CS_PATHWAY,1.32E-08,26,4,ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1.10E-06,76,4,ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,1.72E-06,85,4,ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
KEGG_HEMATOPOIETIC_CELL_LINEAGE,1.98E-06,88,4,ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,2.07E-06,89,4,CFD  FN1  ITGA2B  SPARC,1,1,6
PID_LYMPHANGIOGENESIS_PATHWAY,2.26E-06,25,3,FN1  ITGA1  ITGA5,1,1,6
KEGG_DILATED_CARDIOMYOPATHY,2.36E-06,92,4,ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,2.48E-06,216,5,FN1  ITGA1  ITGA2B  ITGA3  ITGA5,1,1,6
PID_UPA_UPAR_PATHWAY,1.12E-05,42,3,FN1  ITGA3  ITGA5,1,1,6
PID_INTEGRIN3_PATHWAY,1.20E-05,43,3,FN1  ITGA2B  TGFBI,1,1,6
PID_ARF6_TRAFFICKINGPATHWAY,1.78E-05,49,3,ITGA1  ITGA3  ITGA5,1,1,6
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,5.92E-05,208,4,CFD  FN1  ITGA2B  SPARC,1,0,6
PID_AVB3_INTEGRIN_PATHWAY,6.42E-05,75,3,COL2A1  COL6A2  FN1,1,0,6
ST_INTEGRIN_SIGNALING_PATHWAY,8.38E-05,82,3,ITGA1  ITGA3  ITGA5,1,0,6
KEGG_SMALL_CELL_LUNG_CANCER,9.00E-05,84,3,FN1  ITGA2B  ITGA3,1,0,6
REACTOME_L1CAM_INTERACTIONS,9.65E-05,86,3,ITGA1  ITGA2B  ITGA5,1,0,6
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_,0.000109351,15,2,FN1  ITGA2B,1,0,6
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,0.000109351,15,2,FN1  ITGA2B,1,0,6
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.000114208,91,3,FN1  ITGA3  ITGA5,1,0,6
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,0.000124894,16,2,C1QA  CFD,1,0,6
PID_CXCR4_PATHWAY,0.000160221,102,3,ITGA1  ITGA3  ITGA5,1,0,6
BIOCARTA_COMP_PATHWAY,0.000177636,19,2,C1QA  CFD,1,0,6
PID_INTEGRIN_A9B1_PATHWAY,0.00031046,25,2,FN1  TGM2,1,0,6
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,0.000362779,27,2,FN1  ITGA2B,1,0,6
PID_SYNDECAN_4_PATHWAY,0.000511026,32,2,FN1  ITGA5,1,0,6
REACTOME_COMPLEMENT_CASCADE,0.000511026,32,2,C1QA  CFD,1,0,6
PID_SYNDECAN_2_PATHWAY,0.000543651,33,2,FN1  ITGA5,1,0,6
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,0.000577264,34,2,ITGA2B  ITGA5,1,0,6
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,0.000647444,36,2,FN1  ITGA2B,1,0,6
REACTOME_NCAM1_INTERACTIONS,0.000760074,39,2,COL2A1  COL6A2,1,0,6
PID_SYNDECAN_1_PATHWAY,0.001056951,46,2,COL2A1  COL6A2,1,0,6
PID_ANGIOPOIETINRECEPTOR_PATHWAY,0.00124782,50,2,FN1  ITGA5,1,0,6
REACTOME_COLLAGEN_FORMATION,0.001675299,58,2,COL2A1  COL6A2,1,0,6
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0.002035462,64,2,COL2A1  COL6A2,1,0,6
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.002361177,69,2,C1QA  CFD,1,0,6
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.00372264,87,2,COL2A1  COL6A2,1,0,6
REACTOME_SIGNALING_BY_PDGF,0.007184387,122,2,COL2A1  COL6A2,1,0,6
BIOCARTA_EPHA4_PATHWAY,0.010452867,10,1,ITGA1,1,0,6
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,0.010452867,10,1,C1QA,1,0,6
BIOCARTA_CLASSIC_PATHWAY,0.014604807,14,1,C1QA,1,0,6
