"comm","size","type","members"
1,58,"real","ACTB  AFF3  ANXA6  AP1S2  ARIH1  ATXN1  CFL2  CKAP4  DNAJA3  DPYSL2  EEF1A1  ELL2  ENO3  ERRFI1  FLNB  GMFB  GPC1  GTF3C4  HOXA5  IGBP1  KIAA1244  KRT17  LACOSAMIDE  LRP1B  MAP2  MARCKS  MED8  MPRIP  MTF2  NDOR1  NIN  NR5A2  PHACTR2  PRKDC  PTPRE  RANBP9  RBFOX1  RQCD1  RUVBL1  SAMD4A  SARS  SASH1  SEC23A  SF1126  SIP1  SLIT2  SORBS1  TFAP2A  TMEM16K  TMOD3  TOB1  TRPV4  UACA  UBR2  WASF3  WIPF1  YWHAE  YWHAZ"
2,36,"real","ABCIXIMAB  AS1409  C1QA  CFD  CILENGITIDE  COL2A1  COL6A2  COLLAGENASE_CLOSTRIDIUM_HISTOLYTICUM  EPTIFIBATIDE  F200  FN1  GANTOFIBAN  GLPG0187  HMOX2  IGLL1  ISL1  ITGA1  ITGA2B  ITGA3  ITGA5  JSM_6427  KIAA0232  MEP1A  PKD1  PLAT  PPHLN1  RABIF  RAP2C  SAN_300  SPARC  STANNSOPORFIN  TGFBI  TGM2  TIROFIBAN  TRANEXAMIC_ACID  UROKINASE"
3,9,"real","BAG5  BCL2L2  CASP2  FEM1C  HIVEP2  LGALS3BP  NAVITOCLAX__ABT_263  PPM1F  TCEB1"
4,50,"real","ACVR1B  ADCK1  AMUVATINIB  ANAPC7  ANK3  ARID4B  AXITINIB  BCAP31  BMP2K  BRYOSTATIN  BRYOSTATIN_1  C12orf4  CALML3  CRKL  CSNK1G3  DASATINIB  DOK1  ENMD_2076  FEZ1  FEZ2  GRAP  HIPK1  HIPK3  IMATINIB  INGENOL_MEBUTATE  KHDRBS1  KIT  LENVATINIB  LIMK2  LINIFANIB  MAP4K5  MAPK7  MASITINIB  MCFD2  METTL1  METTL2B  MOTESANIB  MSN  PHKG2  PICALM  PRKCQ  PRKCZ  RPS6KA3  SELPLG  SORAFENIB  SUNITINIB  TBK1  VATALANIB  XL820  XL999"
5,9,"real","ATG3  CLASP1  GOLGA1  NADK  NUP54  NUP98  RAB11FIP2  RASSF8  WDFY3"
6,8,"real","ACTB1003  APOE  EXEBRYL_1  MAPT  NUDT4  RPS6KB1  SSU72  XL418"
7,41,"real","ALCLOMETASONE  AMCINONIDE  BECLOMETHASONE  BECLOMETHASONE_DIPROPIONATE  BETAMETHASONE  BUDESONIDE  CICLESONIDE  CLOBETASOL  CLOCORTOLONE  CORT_108297  DESONIDE  DESOXIMETASONE  DEXAMETHASONE  DIFLORASONE  DIFLUPREDNATE  FLUMETHASONE_PIVALATE  FLUNISOLIDE  FLUOCINOLONE_ACETONIDE  FLUOCINONIDE  FLUOROMETHOLONE  FLURANDRENOLIDE  FLUTICASONE  FLUTICASONE_FUROATE  FLUTICASONE_PROPIONATE  HALOBETASOL_PROPIONATE  HE3286  HYDROCORTAMATE  KB3305  LOTEPREDNOL_ETABONATE  MEDRYSONE  METHYLPREDNISOLONE  MIFEPRISTONE  MOMETASONE  NR3C1  PARAMETHASONE  PMI_001  PREDNICARBATE  PREDNISOLONE  PREDNISONE  RIMEXOLONE  TRIAMCINOLONE"
8,17,"real","IFNAR1  INTERFERON_ALFACON_1  INTERFERON_ALFA_2A__RECOMBINANT  INTERFERON_ALFA_2B__RECOMBINANT  INTERFERON_ALFA_N1  INTERFERON_ALFA_N3  INTERFERON_ALPHA  INTERFERON_ALPHA_2B  INTERFERON_BETA  INTERFERON_BETA_1A  INTERFERON_BETA_1B  MODIFIED_IFN_ALPHA  MODIFIED_IFN_BETA  PEGINTERFERON_ALFA_2A  PEG_INTERFERON_ALFACON_1  RECOMBINANT_INTERFERON_ALFA_2B  SIFALIMUMAB"
9,6,"real","BCL11A  HNF1A  KIF13B  POU2F3  PPAP2B  UTP6"
10,7,"real","ARSENIC_TRIOXIDE  ATF3  CCND1  FOSL2  JUN  TSC22D3  T_5224"
