"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"PID_HNF3APATHWAY",3.45573562920905e-07,44,3,"CREBBP  JUN  NFIA",1,1
"PID_AR_TF_PATHWAY",6.10424920961038e-07,53,3,"CREBBP  JUN  NR3C1",1,1
"PID_REG_GR_PATHWAY",2.29762149661666e-06,82,3,"CREBBP  JUN  NR3C1",1,1
"PID_SMAD2_3NUCLEARPATHWAY",2.29762149661666e-06,82,3,"CREBBP  JUN  NR3C1",1,1
"PID_P53DOWNSTREAMPATHWAY",1.07866780665668e-05,137,3,"CREBBP  JUN  PML",1,1
"BIOCARTA_PML_PATHWAY",1.42450461568277e-05,17,2,"CREBBP  PML",1,1
"BIOCARTA_NTHI_PATHWAY",2.88753404074106e-05,24,2,"CREBBP  NR3C1",1,1
"REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",4.24406416443915e-05,29,2,"CREBBP  JUN",1,0
"PID_IL12_STAT4PATHWAY",5.5156933103435e-05,33,2,"CREBBP  JUN",1,0
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION",6.57793282761054e-05,36,2,"CREBBP  NR3C1",1,0
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING",9.86416877396198e-05,44,2,"CREBBP  JUN",1,0
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",0.00010321245452874,45,2,"CREBBP  JUN",1,0
"PID_PS1PATHWAY",0.000107885931083868,46,2,"CREBBP  JUN",1,0
"REACTOME_CIRCADIAN_CLOCK",0.000143471789703118,53,2,"CREBBP  NR3C1",1,0
"BIOCARTA_PPARA_PATHWAY",0.000171960165497233,58,2,"CREBBP  JUN",1,0
"PID_RB_1PATHWAY",0.000216128017106443,65,2,"CREBBP  JUN",1,0
"PID_HIF1_TFPATHWAY",0.000222844828027536,66,2,"CREBBP  JUN",1,0
"KEGG_RENAL_CELL_CARCINOMA",0.000250727805593728,70,2,"CREBBP  JUN",1,0
"PID_AP1_PATHWAY",0.000250727805593728,70,2,"JUN  NR3C1",1,0
"PID_MET_PATHWAY",0.000327527385457981,80,2,"JUN  RANBP9",1,0
"REACTOME_SIGNALING_BY_NOTCH",0.000542375889911095,103,2,"CREBBP  JUN",1,0
"KEGG_WNT_SIGNALING_PATHWAY",0.00115997604991248,151,2,"CREBBP  JUN",1,0
"REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS",0.00349527791310811,10,1,"JUN",1,0
"BIOCARTA_SET_PATHWAY",0.00384422904140258,11,1,"CREBBP",1,0
"BIOCARTA_VDR_PATHWAY",0.00419307542675018,12,1,"CREBBP",1,0
"BIOCARTA_ARENRF2_PATHWAY",0.00454181709535206,13,1,"JUN",1,0
"BIOCARTA_CARM1_PATHWAY",0.00454181709535206,13,1,"CREBBP",1,0
"BIOCARTA_D4GDI_PATHWAY",0.00454181709535206,13,1,"JUN",1,0
"REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.00454181709535206,13,1,"CREBBP",1,0
"BIOCARTA_DREAM_PATHWAY",0.00489045407340416,14,1,"JUN",1,0
"PID_TCRJNKPATHWAY",0.00489045407340416,14,1,"JUN",1,0
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",0.00489045407340416,14,1,"CREBBP",1,0
"BIOCARTA_HIF_PATHWAY",0.0052389863870983,15,1,"JUN",1,0
"BIOCARTA_PITX2_PATHWAY",0.0052389863870983,15,1,"CREBBP",1,0
"BIOCARTA_CDMAC_PATHWAY",0.0055874140626192,16,1,"JUN",1,0
"BIOCARTA_RELA_PATHWAY",0.0055874140626192,16,1,"CREBBP",1,0
"BIOCARTA_41BB_PATHWAY",0.00593573712614837,17,1,"JUN",1,0
"BIOCARTA_IL7_PATHWAY",0.00593573712614837,17,1,"CREBBP",1,0
"BIOCARTA_CARDIACEGF_PATHWAY",0.0062839556038603,18,1,"JUN",1,0
"BIOCARTA_ETS_PATHWAY",0.0062839556038603,18,1,"JUN",1,0
"BIOCARTA_NGF_PATHWAY",0.0062839556038603,18,1,"JUN",1,0
"BIOCARTA_EPO_PATHWAY",0.00663206952192497,19,1,"JUN",1,0
"BIOCARTA_TGFB_PATHWAY",0.00663206952192497,19,1,"CREBBP",1,0
"BIOCARTA_ATM_PATHWAY",0.00698007890650787,20,1,"JUN",1,0
"BIOCARTA_CCR5_PATHWAY",0.00698007890650787,20,1,"JUN",1,0
"BIOCARTA_IGF1_PATHWAY",0.00732798378376776,21,1,"JUN",1,0
"BIOCARTA_GCR_PATHWAY",0.00767578417985937,22,1,"NR3C1",1,0
"BIOCARTA_IL2_PATHWAY",0.00767578417985937,22,1,"JUN",1,0
"BIOCARTA_IL6_PATHWAY",0.00767578417985937,22,1,"JUN",1,0
"BIOCARTA_INSULIN_PATHWAY",0.00767578417985937,22,1,"JUN",1,0
"PID_PDGFRAPATHWAY",0.00767578417985937,22,1,"JUN",1,0
"BIOCARTA_GLEEVEC_PATHWAY",0.00802348012093168,23,1,"JUN",1,0
"BIOCARTA_IL12_PATHWAY",0.00802348012093168,23,1,"JUN",1,0
"REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA",0.00802348012093168,23,1,"CREBBP",1,0
"ST_GA12_PATHWAY",0.00802348012093168,23,1,"JUN",1,0
"BIOCARTA_CSK_PATHWAY",0.00837107163312834,24,1,"CREBBP",1,0
"BIOCARTA_TPO_PATHWAY",0.00837107163312834,24,1,"JUN",1,0
"PID_S1P_S1P2_PATHWAY",0.00837107163312834,24,1,"JUN",1,0
"REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION",0.00837107163312834,24,1,"CREBBP",1,0
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.00837107163312834,24,1,"CREBBP",1,0
"SA_B_CELL_RECEPTOR_COMPLEXES",0.00837107163312834,24,1,"JUN",1,0
"BIOCARTA_STRESS_PATHWAY",0.0087185587425882,25,1,"JUN",1,0
"PID_HDAC_CLASSIII_PATHWAY",0.0087185587425882,25,1,"CREBBP",1,0
"PID_MYC_PATHWAY",0.0087185587425882,25,1,"PML",1,0
"REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN",0.0087185587425882,25,1,"CREBBP",1,0
"BIOCARTA_WNT_PATHWAY",0.00906594147544426,26,1,"CREBBP",1,0
"ST_GRANULE_CELL_SURVIVAL_PATHWAY",0.00941321985782473,27,1,"JUN",1,0
"BIOCARTA_TNFR1_PATHWAY",0.0101074636756462,29,1,"JUN",1,0
"PID_TCRCALCIUMPATHWAY",0.0101074636756462,29,1,"JUN",1,0
"ST_TUMOR_NECROSIS_FACTOR_PATHWAY",0.0101074636756462,29,1,"JUN",1,0
"BIOCARTA_FAS_PATHWAY",0.0104544291633168,30,1,"JUN",1,0
"PID_RETINOIC_ACID_PATHWAY",0.0104544291633168,30,1,"CREBBP",1,0
"REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES",0.0104544291633168,30,1,"JUN",1,0
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",0.0104544291633168,30,1,"CREBBP",1,0
"BIOCARTA_EGF_PATHWAY",0.0108012904049721,31,1,"JUN",1,0
"BIOCARTA_PYK2_PATHWAY",0.0108012904049721,31,1,"JUN",1,0
"PID_AVB3_OPN_PATHWAY",0.0108012904049721,31,1,"JUN",1,0
"PID_CD40_PATHWAY",0.0108012904049721,31,1,"JUN",1,0
"PID_NEPHRIN_NEPH1_PATHWAY",0.0108012904049721,31,1,"JUN",1,0
"BIOCARTA_PDGF_PATHWAY",0.011148047426714,32,1,"JUN",1,0
"BIOCARTA_IL1R_PATHWAY",0.0114947002546394,33,1,"JUN",1,0
"PID_HDAC_CLASSII_PATHWAY",0.0118412489148395,34,1,"NR3C1",1,0
"PID_HIF2PATHWAY",0.0118412489148395,34,1,"CREBBP",1,0
"PID_IL1PATHWAY",0.0118412489148395,34,1,"JUN",1,0
"BIOCARTA_CARM_ER_PATHWAY",0.012187693433401,35,1,"CREBBP",1,0
"BIOCARTA_AGR_PATHWAY",0.0125340338364046,36,1,"JUN",1,0
"BIOCARTA_AT1R_PATHWAY",0.0125340338364046,36,1,"JUN",1,0
"BIOCARTA_BCR_PATHWAY",0.0128802701499261,37,1,"JUN",1,0
"BIOCARTA_GPCR_PATHWAY",0.0128802701499261,37,1,"JUN",1,0
"BIOCARTA_MET_PATHWAY",0.0128802701499261,37,1,"JUN",1,0
"BIOCARTA_TOLL_PATHWAY",0.0128802701499261,37,1,"JUN",1,0
"PID_FRA_PATHWAY",0.0128802701499261,37,1,"JUN",1,0
"BIOCARTA_INTEGRIN_PATHWAY",0.0132264024000365,38,1,"JUN",1,0
"PID_P38ALPHABETADOWNSTREAMPATHWAY",0.0132264024000365,38,1,"JUN",1,0
"PID_RET_PATHWAY",0.0135724306128007,39,1,"JUN",1,0
"PID_FOXM1PATHWAY",0.0139183548142791,40,1,"CREBBP",1,0
"PID_IFNGPATHWAY",0.0139183548142791,40,1,"CREBBP",1,0
"ST_JNK_MAPK_PATHWAY",0.0139183548142791,40,1,"JUN",1,0
"BIOCARTA_FCER1_PATHWAY",0.0142641750305265,41,1,"JUN",1,0
"PID_TCPTP_PATHWAY",0.0149555036115225,43,1,"CREBBP",1,0
"PID_ERBB2ERBB3PATHWAY",0.0153010120283544,44,1,"JUN",1,0
"PID_HNF3BPATHWAY",0.0156464165641235,45,1,"NR3C1",1,0
"PID_ILK_PATHWAY",0.0156464165641235,45,1,"JUN",1,0
"PID_RHOA_PATHWAY",0.0156464165641235,45,1,"JUN",1,0
"BIOCARTA_KERATINOCYTE_PATHWAY",0.0159917172448576,46,1,"JUN",1,0
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.0159917172448576,46,1,"CREBBP",1,0
"KEGG_NOTCH_SIGNALING_PATHWAY",0.0163369140965809,47,1,"CREBBP",1,0
"PID_IL6_7PATHWAY",0.0163369140965809,47,1,"JUN",1,0
"PID_NFAT_TFPATHWAY",0.0163369140965809,47,1,"JUN",1,0
"PID_AJDISS_2PATHWAY",0.0166820071453117,48,1,"CREBBP",1,0
"PID_HEDGEHOG_GLIPATHWAY",0.0166820071453117,48,1,"CREBBP",1,0
"PID_HES_HEYPATHWAY",0.0166820071453117,48,1,"CREBBP",1,0
"BIOCARTA_TCR_PATHWAY",0.0170269964170627,49,1,"JUN",1,0
"PID_FOXOPATHWAY",0.0170269964170627,49,1,"CREBBP",1,0
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",0.0170269964170627,49,1,"NR3C1",1,0
"REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE",0.0173718819378428,50,1,"JUN",1,0
"PID_KITPATHWAY",0.0180613418304942,52,1,"CREBBP",1,0
"PID_NFAT_3PATHWAY",0.0187503870312254,54,1,"CREBBP",1,0
"PID_RAC1_PATHWAY",0.0187503870312254,54,1,"JUN",1,0
"PID_TAP63PATHWAY",0.0187503870312254,54,1,"PML",1,0
"PID_FGF_PATHWAY",0.0190947541870851,55,1,"JUN",1,0
"PID_IL2_1PATHWAY",0.0190947541870851,55,1,"JUN",1,0
"PID_TGFBRPATHWAY",0.0190947541870851,55,1,"PML",1,0
"BIOCARTA_NFAT_PATHWAY",0.0194390177479121,56,1,"CREBBP",1,0
"PID_ATF2_PATHWAY",0.0204711871198825,59,1,"JUN",1,0
"PID_FAK_PATHWAY",0.0204711871198825,59,1,"JUN",1,0
"PID_P53REGULATIONPATHWAY",0.0204711871198825,59,1,"CREBBP",1,0
