"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_ACTIVATION_OF_RAC",0.00558727464275222,14,1,"SLIT2",1,0
"BIOCARTA_NDKDYNAMIN_PATHWAY",0.00837065433548789,21,1,"PICALM",1,0
"REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER",0.00916465252913512,23,1,"GTF3C4",1,0
"PID_GLYPICAN_1PATHWAY",0.0107509802271462,27,1,"SLIT2",1,0
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.0107509802271462,27,1,"MIB2",1,0
"REACTOME_RECYCLING_PATHWAY_OF_L1",0.0107509802271462,27,1,"MSN",1,0
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.0119392672128888,30,1,"SLIT2",1,0
"REACTOME_RNA_POL_III_TRANSCRIPTION",0.0131263050609012,33,1,"GTF3C4",1,0
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.0131263050609012,33,1,"MCFD2",1,0
"PID_ER_NONGENOMIC_PATHWAY",0.0162856409847978,41,1,"MSN",1,0
"REACTOME_NETRIN1_SIGNALING",0.0162856409847978,41,1,"SLIT2",1,0
"PID_RHOA_PATHWAY",0.0178619875767083,45,1,"MSN",1,0
"REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS",0.0210080513235558,53,1,"PICALM",1,0
"REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",0.0237536199547468,60,1,"PICALM",1,0
"REACTOME_SIGNALING_BY_NOTCH1",0.0276641729141582,70,1,"MIB2",1,0
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.0319499438756629,81,1,"MCFD2",1,0
"REACTOME_L1CAM_INTERACTIONS",0.0338925511075435,86,1,"MSN",1,0
"REACTOME_SIGNALING_BY_NOTCH",0.0404719258296139,103,1,"MIB2",1,0
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.0462446635974756,118,1,"MSN",1,0
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION",0.0477789184516275,122,1,"GTF3C4",1,0
"KEGG_AXON_GUIDANCE",0.050458668518599,129,1,"SLIT2",1,0
"REACTOME_MEMBRANE_TRAFFICKING",0.050458668518599,129,1,"PICALM",1,0
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",0.0727842113956512,188,1,"MCFD2",1,0
"REACTOME_TRANSCRIPTION",0.0809906395810428,210,1,"GTF3C4",1,0
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0832176964340082,216,1,"MSN",1,0
