"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"PID_IGF1_PATHWAY",1.69683859056054e-07,30,3,"PRKCZ  RAF1  RPS6KB1",1,1
"PID_CDC42_PATHWAY",2.27068620476662e-06,70,3,"PRKCZ  RAF1  RPS6KB1",1,1
"BIOCARTA_MAPK_PATHWAY",4.3827853267589e-06,87,3,"MAPK7  RAF1  RPS6KB1",1,1
"PID_ERBB1_DOWNSTREAM_PATHWAY",7.72509091839974e-06,105,3,"MAPK7  PRKCZ  RAF1",1,1
"KEGG_INSULIN_SIGNALING_PATHWAY",1.71720502096915e-05,137,3,"PRKCZ  RAF1  RPS6KB1",1,1
"BIOCARTA_PTDINS_PATHWAY",3.52732635049141e-05,23,2,"PRKCZ  RPS6KB1",1,1
"ST_GA12_PATHWAY",3.52732635049141e-05,23,2,"MAPK7  RAF1",1,1
"PID_IL2_PI3KPATHWAY",7.80426547351062e-05,34,2,"PRKCZ  RPS6KB1",1,0
"PID_MAPKTRKPATHWAY",7.80426547351062e-05,34,2,"MAPK7  RAF1",1,0
"BIOCARTA_IL2RB_PATHWAY",9.77185125961844e-05,38,2,"RAF1  RPS6KB1",1,0
"PID_INSULIN_PATHWAY",0.000137419476027373,45,2,"PRKCZ  RPS6KB1",1,0
"PID_CERAMIDE_PATHWAY",0.000156480931177737,48,2,"PRKCZ  RAF1",1,0
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",0.000176767217519095,51,2,"RAF1  RPS6KB1",1,0
"PID_KITPATHWAY",0.000183801112557897,52,2,"RAF1  RPS6KB1",1,0
"BIOCARTA_NFAT_PATHWAY",0.000213293492281517,56,2,"RAF1  RPS6KB1",1,0
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.000244952798688023,60,2,"RAF1  RPS6KB1",1,0
"PID_MTOR_4PATHWAY",0.000324081812270469,69,2,"RAF1  RPS6KB1",1,0
"PID_MET_PATHWAY",0.000435569278924219,80,2,"PRKCZ  RAF1",1,0
"KEGG_ERBB_SIGNALING_PATHWAY",0.000514931099608976,87,2,"RAF1  RPS6KB1",1,0
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE",0.000514931099608976,87,2,"RAF1  RPS6KB1",1,0
"KEGG_GAP_JUNCTION",0.000550938380239126,90,2,"MAPK7  RAF1",1,0
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.000639594410816229,97,2,"RAF1  RPS6KB1",1,0
"KEGG_GNRH_SIGNALING_PATHWAY",0.000693162638769831,101,2,"MAPK7  RAF1",1,0
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",0.000791976699704598,108,2,"RAF1  RPS6KB1",1,0
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.00107552236327195,126,2,"MAPK7  RAF1",1,0
"REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE",0.0012695248405126,137,2,"MAPK7  RAF1",1,0
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.00242093750720693,190,2,"PRKCZ  RAF1",1,0
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",0.00281090356092484,205,2,"MAPK7  RAF1",1,0
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",0.00289223993355399,208,2,"PRKCZ  RAF1",1,0
"REACTOME_SIGNALLING_BY_NGF",0.00314289757826431,217,2,"MAPK7  RAF1",1,0
"REACTOME_RAF_MAP_KINASE_CASCADE",0.003993704723535,10,1,"RAF1",1,0
"BIOCARTA_CDK5_PATHWAY",0.0043923065425554,11,1,"RAF1",1,0
"BIOCARTA_IL4_PATHWAY",0.0043923065425554,11,1,"RPS6KB1",1,0
"REACTOME_MTORC1_MEDIATED_SIGNALLING",0.0043923065425554,11,1,"RPS6KB1",1,0
"BIOCARTA_BARR_MAPK_PATHWAY",0.00479076877416573,12,1,"RAF1",1,0
"REACTOME_ERKS_ARE_INACTIVATED",0.00479076877416573,12,1,"MAPK7",1,0
"PID_TCRRASPATHWAY",0.00558727464275222,14,1,"RAF1",1,0
"REACTOME_SOS_MEDIATED_SIGNALLING",0.00558727464275222,14,1,"RAF1",1,0
"BIOCARTA_BARRESTIN_SRC_PATHWAY",0.00598531836349969,15,1,"RAF1",1,0
"BIOCARTA_IL3_PATHWAY",0.00598531836349969,15,1,"RAF1",1,0
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",0.00598531836349969,15,1,"RAF1",1,0
"REACTOME_SHC_MEDIATED_SIGNALLING",0.00598531836349969,15,1,"RAF1",1,0
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN",0.00598531836349969,15,1,"RAF1",1,0
"BIOCARTA_CDMAC_PATHWAY",0.00638322266437963,16,1,"RAF1",1,0
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",0.00638322266437963,16,1,"PRKCZ",1,0
