"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_PHOSPHOLIPID_METABOLISM",0.0108002065043266,198,5,"COL4A3BP  MBOAT2  PIKFYVE  PPAP2B  SYNJ1",1,0
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.012084801607607,25,2,"HNF1A  NR5A2",1,0
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT",0.0171457408361143,30,2,"HNF1A  NR5A2",1,0
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.0171649355083439,81,3,"ALG1  EDEM3  MGAT5",1,0
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.0182487342586465,31,2,"COL4A3BP  PPAP2B",1,0
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.0274715528716523,97,3,"PIKFYVE  PPAP2B  WASF3",1,0
"PID_HNF3BPATHWAY",0.0365680375647809,45,2,"FOXF1  HNF1A",1,0
"PID_ILK_PATHWAY",0.0365680375647809,45,2,"GIT2  ZEB1",1,0
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",0.0378452680273913,188,4,"ALG1  EDEM3  EIF5A2  MGAT5",1,0
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.0380658041036924,46,2,"ALG1  MGAT5",1,0
"REACTOME_SIGNALING_BY_RHO_GTPASES",0.0404197132824476,113,3,"ARHGAP6  RHOBTB1  SYDE1",1,0
"REACTOME_PI_METABOLISM",0.041130431188643,48,2,"PIKFYVE  SYNJ1",1,0
"KEGG_GLYCEROLIPID_METABOLISM",0.042696550787373,49,2,"MBOAT2  PPAP2B",1,0
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.0508507356644396,54,2,"PIKFYVE  SYNJ1",1,0
"PID_FAK_PATHWAY",0.0595121777526643,59,2,"GIT2  PTPN21",1,0
"BIOCARTA_RNA_PATHWAY",0.0650298161346039,10,1,"DNAJC3",1,0
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION",0.0650298161346039,10,1,"AP1S2",1,0
