"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE",0.00384422904140258,11,1,"MARCKS",1,0
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",0.00489045407340416,14,1,"DPYSL2",1,0
"BIOCARTA_AKAPCENTROSOME_PATHWAY",0.0052389863870983,15,1,"MAP2",1,0
"BIOCARTA_CALCINEURIN_PATHWAY",0.00732798378376776,21,1,"MARCKS",1,0
"BIOCARTA_TOB1_PATHWAY",0.00732798378376776,21,1,"TOB1",1,0
"REACTOME_RECYCLING_PATHWAY_OF_L1",0.00941321985782473,27,1,"DPYSL2",1,0
"PID_IL6_7PATHWAY",0.0163369140965809,47,1,"PTPRE",1,0
"PID_LKB1_PATHWAY",0.0163369140965809,47,1,"MAP2",1,0
"REACTOME_SEMAPHORIN_INTERACTIONS",0.0235621095136571,68,1,"DPYSL2",1,0
"REACTOME_L1CAM_INTERACTIONS",0.0297188815136944,86,1,"DPYSL2",1,0
"REACTOME_REGULATION_OF_INSULIN_SECRETION",0.0321041791155698,93,1,"MARCKS",1,0
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.033464948290221,97,1,"MARCKS",1,0
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",0.0412575926794967,120,1,"MARCKS",1,0
"KEGG_AXON_GUIDANCE",0.0442921949100055,129,1,"DPYSL2",1,0
