"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_ACTIVATION_OF_RAC",0.00419318011729974,14,1,"SLIT2",1,0
"BIOCARTA_TID_PATHWAY",0.00568718888717767,19,1,"DNAJA3",1,0
"REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER",0.00688105060026567,23,1,"GTF3C4",1,0
"PID_GLYPICAN_1PATHWAY",0.00807371752578534,27,1,"SLIT2",1,0
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.00896743421615709,30,1,"SLIT2",1,0
"REACTOME_RNA_POL_III_TRANSCRIPTION",0.00986047978013427,33,1,"GTF3C4",1,0
"REACTOME_NETRIN1_SIGNALING",0.0122386566210769,41,1,"SLIT2",1,0
"PID_TRKRPATHWAY",0.0184587340394288,62,1,"DNAJA3",1,0
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION",0.0360508068622937,122,1,"GTF3C4",1,0
"KEGG_AXON_GUIDANCE",0.0380859876682935,129,1,"SLIT2",1,0
"REACTOME_TRANSCRIPTION",0.0613766924398346,210,1,"GTF3C4",1,0
