V1,V2
hsa-miR-3183,ATP11C
hsa-miR-3183,RNF169
hsa-miR-3183,LRP6
hsa-miR-3183,AGAP1
hsa-miR-3183,GFOD1
hsa-miR-3183,EHD3
hsa-miR-3183,NKAIN1
hsa-miR-3183,FAM126B
hsa-miR-3183,UBE3A
hsa-miR-3183,ZSCAN20
hsa-miR-3183,SPR
hsa-miR-3183,CELF1
hsa-miR-3183,AGFG2
hsa-miR-3183,SETD3
hsa-miR-3183,MMP19
hsa-miR-3183,ZFYVE26
hsa-miR-3183,GXYLT1
hsa-miR-3183,IGLON5
hsa-miR-3183,RNF216
hsa-miR-3183,PRICKLE1
hsa-miR-3183,FAM73B
hsa-miR-3183,APOBEC2
hsa-miR-3183,EYA2
hsa-miR-3183,MAML3
hsa-miR-3183,RAB11FIP1
hsa-miR-3183,PCBP3
hsa-miR-3183,VPS13D
hsa-miR-3183,SLC52A3
hsa-miR-3183,TAGLN3
hsa-miR-3183,APOLD1
hsa-miR-3183,SH2D5
hsa-miR-3183,XPO7
hsa-miR-3183,UBE2O
hsa-miR-3183,HIF1AN
hsa-miR-3183,EZH1
hsa-miR-3183,VANGL1
hsa-miR-3183,LRRC16A
hsa-miR-3183,WDR55
hsa-miR-3183,SULT1C4
hsa-miR-3183,ELF3
hsa-miR-3183,KIAA1191
hsa-miR-3183,RPP25
hsa-miR-3183,SFRP4
hsa-miR-3183,GPR26
hsa-miR-3183,H6PD
hsa-miR-3183,STAC2
hsa-miR-3183,TGFBRAP1
hsa-miR-3183,MLLT6
hsa-miR-3183,RNF185
hsa-miR-3183,SEC24C
hsa-miR-3183,NUP50
CCNJ,AGAP1
CCNJ,CCNK
CCNJ,CKS1B
CCNJ,STAM
CCNJ,NAGA
CCNJ,CKS1BP6
CCNJ,PAN3
CCNJ,EMX2
CCNJ,EMX1
CCNJ,PXMP2
hsa-miR-1291,OAZ2
hsa-miR-1291,NF2
hsa-miR-1291,GLYCTK
hsa-miR-1291,FAM160A2
hsa-miR-1291,VASH1
hsa-miR-1291,IMPA2
hsa-miR-1291,ST6GALNAC6
hsa-miR-1291,TOR1AIP2
hsa-miR-1291,KLHDC10
hsa-miR-1291,UBE2Z
hsa-miR-1291,ACAP3
hsa-miR-1291,CDC42EP1
hsa-miR-1291,MLXIP
hsa-miR-1291,RNF128
hsa-miR-1291,SLC27A4
hsa-miR-1291,DNAJB5
hsa-miR-1291,FBXO41
hsa-miR-1291,GFOD1
hsa-miR-1291,CYP2C18
hsa-miR-1291,PHOX2A
hsa-miR-1291,RPP14
hsa-miR-1291,LNX2
hsa-miR-1291,RELT
hsa-miR-1291,DYNC1I1
hsa-miR-1291,MTHFR
hsa-miR-1291,NOS1AP
hsa-miR-1291,TBC1D5
hsa-miR-1291,KREMEN1
hsa-miR-1291,ATG4D
hsa-miR-1291,ADAM11
hsa-miR-1291,SAMD14
hsa-miR-1291,PLXNA2
hsa-miR-1291,HECTD4
hsa-miR-1291,ZNF365
hsa-miR-1291,ACSS1
hsa-miR-1291,SLC12A5
hsa-miR-1291,CYTH1
hsa-miR-1291,HPCAL4
hsa-miR-1291,SIRT7
hsa-miR-1291,FUNDC2
hsa-miR-1291,SNX19
hsa-miR-1291,WNT11
hsa-miR-1291,GM2A
hsa-miR-1291,ARL4C
hsa-miR-1291,KIAA1161
hsa-miR-1291,ABCC1
hsa-miR-1291,FAIM2
hsa-miR-1291,GPSM1
hsa-miR-1291,GSTM4
hsa-miR-1291,LOC285556
hsa-miR-1291,RAB1B
hsa-miR-1291,DGCR14
hsa-miR-1291,ARHGEF40
