"node","comm","type","geneset","leftovers"
"ANXA6",1,"Candidate","Stage_2",0
"ASNS",1,"Candidate","Stage_2",0
"ENO3",1,"Candidate","Stage_2",0
"SLC47A1",1,"Candidate","Stage_2",0
"TPM3",1,"Candidate","Stage_2",0
"UACA",1,"Candidate","Stage_2",0
"AFF3",1,"Input Gene","Stage_2",0
"BAG5",1,"Input Gene","Stage_2",0
"CFL2",1,"Input Gene","Stage_2",0
"EPS8",1,"Input Gene","Stage_2",0
"GMFB",1,"Input Gene","Stage_2",0
"HIPK3",1,"Input Gene","Stage_2",0
"MAPK7",1,"Input Gene","Stage_2",0
"RQCD1",1,"Input Gene","Stage_2",0
"SEC23A",1,"Input Gene","Stage_2",0
"TMOD3",1,"Input Gene","Stage_2",0
"WIPF1",1,"Input Gene","Stage_2",0
"CCNG2",2,"Candidate","Stage_2",0
"CNKSR1",2,"Candidate","Stage_2",0
"EFEMP1",2,"Candidate","Stage_2",0
"GRIP1",2,"Candidate","Stage_2",0
"LRPAP1",2,"Candidate","Stage_2",0
"MAPRE3",2,"Candidate","Stage_2",0
"PLAT",2,"Candidate","Stage_2",0
"TRANEXAMIC_ACID",2,"EstablishedDrug","Stage_2",0
"UROKINASE",2,"EstablishedDrug","Stage_2",0
"CHIR_265",2,"EstablishedDrug","Stage_2",0
"ICO_007",2,"EstablishedDrug","Stage_2",0
"C_RAF_ANTISENSE_OLIGONUCLEOTIDE",2,"EstablishedDrug","Stage_2",0
"SORAFENIB",2,"EstablishedDrug","Stage_2",0
"XL281",2,"EstablishedDrug","Stage_2",0
"CKAP4",2,"Input Gene","Stage_2",0
"CLASP1",2,"Input Gene","Stage_2",0
"ERRFI1",2,"Input Gene","Stage_2",0
"GOLGA1",2,"Input Gene","Stage_2",0
"LRP1B",2,"Input Gene","Stage_2",0
"MPRIP",2,"Input Gene","Stage_2",0
"NADK",2,"Input Gene","Stage_2",0
"NF2",2,"Input Gene","Stage_2",0
"PPFIA1",2,"Input Gene","Stage_2",0
"RAB11FIP2",2,"Input Gene","Stage_2",0
"RAF1",2,"Input Gene","Stage_2",0
"RALGDS",2,"Input Gene","Stage_2",0
"RANBP9",2,"Input Gene","Stage_2",0
"RASSF8",2,"Input Gene","Stage_2",0
"SASH1",2,"Input Gene","Stage_2",0
"GPC1",3,"Candidate","Stage_2",0
"NDUFA5",3,"Candidate","Stage_2",0
"P4HA1",3,"Candidate","Stage_2",0
"ARID4B",3,"Input Gene","Stage_2",0
"CRKL",3,"Input Gene","Stage_2",0
"CSNK1G3",3,"Input Gene","Stage_2",0
"ETV6",3,"Input Gene","Stage_2",0
"GTF3C4",3,"Input Gene","Stage_2",0
"MAP4K5",3,"Input Gene","Stage_2",0
"MCFD2",3,"Input Gene","Stage_2",0
"MIB2",3,"Input Gene","Stage_2",0
"NDUFA4",3,"Input Gene","Stage_2",0
"PICALM",3,"Input Gene","Stage_2",0
"SIP1",3,"Input Gene","Stage_2",0
"SLIT2",3,"Input Gene","Stage_2",0
"TBK1",3,"Input Gene","Stage_2",0
"CFD",4,"Candidate","Stage_2",0
"COL2A1",4,"Candidate","Stage_2",0
"COL4A6",4,"Candidate","Stage_2",0
"COL6A2",4,"Candidate","Stage_2",0
"FEM1C",4,"Candidate","Stage_2",0
"FST",4,"Candidate","Stage_2",0
"IGLL1",4,"Candidate","Stage_2",0
"ITGA11",4,"Candidate","Stage_2",0
"MATN1",4,"Candidate","Stage_2",0
"SH3BP5",4,"Candidate","Stage_2",0
"TGFBI",4,"Candidate","Stage_2",0
"TNFRSF11B",4,"Candidate","Stage_2",0
"COLLAGENASE_CLOSTRIDIUM_HISTOLYTICUM",4,"EstablishedDrug","Stage_2",0
"FN1",4,"Input Gene","Stage_2",0
"ITGA1",4,"Input Gene","Stage_2",0
"PKD1",4,"Input Gene","Stage_2",0
"PPM1F",4,"Input Gene","Stage_2",0
"RAP2C",4,"Input Gene","Stage_2",0
"TCEB1",4,"Input Gene","Stage_2",0
"AS1409",4,"NovelDrug","Stage_2",0
"SAN_300",4,"NovelDrug","Stage_2",0
"ESR1",5,"Candidate","Stage_2",0
"ISL1",5,"Candidate","Stage_2",0
"NR2F6",5,"Candidate","Stage_2",0
"A_007",5,"EstablishedDrug","Stage_2",0
"TOREMIFENE",5,"EstablishedDrug","Stage_2",0
"ETHINYL_ESTRADIOL",5,"EstablishedDrug","Stage_2",0
"LEVONORGESTREL",5,"EstablishedDrug","Stage_2",0
"CLOMIFENE",5,"EstablishedDrug","Stage_2",0
"ARZOXIFENE",5,"EstablishedDrug","Stage_2",0
"BAZEDOXIFENE",5,"EstablishedDrug","Stage_2",0
"PROGESTERONE",5,"EstablishedDrug","Stage_2",0
"ESTRADIOL",5,"EstablishedDrug","Stage_2",0
"SYNTHETIC_CONJUGATED_ESTROGENS",5,"EstablishedDrug","Stage_2",0
"CHF_4227",5,"EstablishedDrug","Stage_2",0
"ESTROGEN",5,"EstablishedDrug","Stage_2",0
"DIENOGEST",5,"EstablishedDrug","Stage_2",0
"ETONOGESTREL",5,"EstablishedDrug","Stage_2",0
"RALOXIFEN",5,"EstablishedDrug","Stage_2",0
"FISPEMIFENE",5,"EstablishedDrug","Stage_2",0
"FULVESTRANT",5,"EstablishedDrug","Stage_2",0
"HYDROXYTAMOXIFEN",5,"EstablishedDrug","Stage_2",0
"LASOFOXIFENE",5,"EstablishedDrug","Stage_2",0
"MK_6913",5,"EstablishedDrug","Stage_2",0
"IODINE",5,"EstablishedDrug","Stage_2",0
"NORELGESTROMIN",5,"EstablishedDrug","Stage_2",0
"17_BETA_ESTRADIOL",5,"EstablishedDrug","Stage_2",0
"ESTRIOL_E3",5,"EstablishedDrug","Stage_2",0
"OSPEMIFENE",5,"EstablishedDrug","Stage_2",0
"RAD1901",5,"EstablishedDrug","Stage_2",0
"TAS_108",5,"EstablishedDrug","Stage_2",0
"CHLOROTRIANISENE",5,"EstablishedDrug","Stage_2",0
"CONJUGATED_ESTROGENS",5,"EstablishedDrug","Stage_2",0
"DANAZOL",5,"EstablishedDrug","Stage_2",0
"DESOGESTREL",5,"EstablishedDrug","Stage_2",0
"DIENESTROL",5,"EstablishedDrug","Stage_2",0
"DIETHYLSTILBESTROL",5,"EstablishedDrug","Stage_2",0
"ESTRIOL",5,"EstablishedDrug","Stage_2",0
"ESTRONE",5,"EstablishedDrug","Stage_2",0
"ETHYNODIOL_DIACETATE",5,"EstablishedDrug","Stage_2",0
"MEGESTROL",5,"EstablishedDrug","Stage_2",0
"MESTRANOL",5,"EstablishedDrug","Stage_2",0
"NORGESTIMATE",5,"EstablishedDrug","Stage_2",0
"NORGESTREL",5,"EstablishedDrug","Stage_2",0
"QUINESTROL",5,"EstablishedDrug","Stage_2",0
"RALOXIFENE",5,"EstablishedDrug","Stage_2",0
"TAMOXIFEN",5,"EstablishedDrug","Stage_2",0
"RABIF",5,"Input Gene","Stage_2",0
"ATF3",6,"Candidate","Stage_2",0
"CCND1",6,"Candidate","Stage_2",0
"ETS1",6,"Candidate","Stage_2",0
"FOSL2",6,"Candidate","Stage_2",0
"GATA2",6,"Candidate","Stage_2",0
"HOXA9",6,"Candidate","Stage_2",0
"MAFG",6,"Candidate","Stage_2",0
"MYC",6,"Candidate","Stage_2",0
"NFE2L2",6,"Candidate","Stage_2",0
"NFKBIA",6,"Candidate","Stage_2",0
"PHOX2A",6,"Candidate","Stage_2",0
"POU1F1",6,"Candidate","Stage_2",0
"RELA",6,"Candidate","Stage_2",0
"SENP2",6,"Candidate","Stage_2",0
"SMAD2",6,"Candidate","Stage_2",0
"SMAD3",6,"Candidate","Stage_2",0
"STAT4",6,"Candidate","Stage_2",0
"TDG",6,"Candidate","Stage_2",0
"TP53",6,"Candidate","Stage_2",0
"WRB",6,"Candidate","Stage_2",0
"ARSENIC_TRIOXIDE",6,"EstablishedDrug","Stage_2",0
"T_5224",6,"EstablishedDrug","Stage_2",0
"ANK3",6,"Input Gene","Stage_2",0
"CREBBP",6,"Input Gene","Stage_2",0
"DNMT3A",6,"Input Gene","Stage_2",0
"JUN",6,"Input Gene","Stage_2",0
"KHDRBS1",6,"Input Gene","Stage_2",0
"NFIA",6,"Input Gene","Stage_2",0
"PML",6,"Input Gene","Stage_2",0
"TFAP2A",6,"Input Gene","Stage_2",0
"TOB1",6,"Input Gene","Stage_2",0
"ZEB1",6,"Input Gene","Stage_2",0
"ZEB2",6,"Input Gene","Stage_2",0
"AVI_4126",6,"NovelDrug","Stage_2",0
"AVI_5126",6,"NovelDrug","Stage_2",0
"LISOFYLLINE",6,"NovelDrug","Stage_2",0
"HOXB1",7,"Candidate","Stage_2",0
"ONECUT1",7,"Candidate","Stage_2",0
"FLUTICASONE_PROPIONATE",7,"EstablishedDrug","Stage_2",0
"PREDNISONE",7,"EstablishedDrug","Stage_2",0
"BECLOMETHASONE",7,"EstablishedDrug","Stage_2",0
"BETAMETHASONE",7,"EstablishedDrug","Stage_2",0
"BUDESONIDE",7,"EstablishedDrug","Stage_2",0
"CLOBETASOL",7,"EstablishedDrug","Stage_2",0
"CORT_108297",7,"EstablishedDrug","Stage_2",0
"PREDNISOLONE",7,"EstablishedDrug","Stage_2",0
"MOMETASONE",7,"EstablishedDrug","Stage_2",0
"DESONIDE",7,"EstablishedDrug","Stage_2",0
"DEXAMETHASONE",7,"EstablishedDrug","Stage_2",0
"DIFLUPREDNATE",7,"EstablishedDrug","Stage_2",0
"BECLOMETHASONE_DIPROPIONATE",7,"EstablishedDrug","Stage_2",0
"FLUTICASONE",7,"EstablishedDrug","Stage_2",0
"FLUNISOLIDE",7,"EstablishedDrug","Stage_2",0
"FLUOCINONIDE",7,"EstablishedDrug","Stage_2",0
"FLUOCINOLONE_ACETONIDE",7,"EstablishedDrug","Stage_2",0
"KB3305",7,"EstablishedDrug","Stage_2",0
"LOTEPREDNOL_ETABONATE",7,"EstablishedDrug","Stage_2",0
"MIFEPRISTONE",7,"EstablishedDrug","Stage_2",0
"PMI_001",7,"EstablishedDrug","Stage_2",0
"TRIAMCINOLONE",7,"EstablishedDrug","Stage_2",0
"HE3286",7,"EstablishedDrug","Stage_2",0
"FLUTICASONE_FUROATE",7,"EstablishedDrug","Stage_2",0
"ALCLOMETASONE",7,"EstablishedDrug","Stage_2",0
"AMCINONIDE",7,"EstablishedDrug","Stage_2",0
"CICLESONIDE",7,"EstablishedDrug","Stage_2",0
"CLOCORTOLONE",7,"EstablishedDrug","Stage_2",0
"DESOXIMETASONE",7,"EstablishedDrug","Stage_2",0
"DIFLORASONE",7,"EstablishedDrug","Stage_2",0
"FLUMETHASONE_PIVALATE",7,"EstablishedDrug","Stage_2",0
"FLUOROMETHOLONE",7,"EstablishedDrug","Stage_2",0
"FLURANDRENOLIDE",7,"EstablishedDrug","Stage_2",0
"HALOBETASOL_PROPIONATE",7,"EstablishedDrug","Stage_2",0
"HYDROCORTAMATE",7,"EstablishedDrug","Stage_2",0
"MEDRYSONE",7,"EstablishedDrug","Stage_2",0
