pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
KEGG_BLADDER_CANCER,8.15E-06,42,3,MYC  RAF1  RASSF1,1,1,1
KEGG_COLORECTAL_CANCER,2.65E-05,62,3,MYC  RAF1  RALGDS,1,1,1
BIOCARTA_MAPK_PATHWAY,7.33E-05,87,3,MAPK7  MYC  RAF1,1,0,1
BIOCARTA_CDMAC_PATHWAY,0.000101794,16,2,MYC  RAF1,1,0,1
PID_ERBB1_DOWNSTREAM_PATHWAY,0.000128165,105,3,MAPK7  RAF1  RALGDS,1,0,1
BIOCARTA_GLEEVEC_PATHWAY,0.000213767,23,2,MYC  RAF1,1,0,1
BIOCARTA_RAS_PATHWAY,0.000213767,23,2,RAF1  RALGDS,1,0,1
ST_GA12_PATHWAY,0.000213767,23,2,MAPK7  RAF1,1,0,1
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE,0.000281164,137,3,MAPK7  RAF1  RALGDS,1,0,1
REACTOME_SIGNALLING_TO_RAS,0.000295898,27,2,RAF1  RALGDS,1,0,1
BIOCARTA_ERK_PATHWAY,0.000318479,28,2,MYC  RAF1,1,0,1
KEGG_THYROID_CANCER,0.000341877,29,2,MYC  TPM3,1,0,1
PID_MAPKTRKPATHWAY,0.00047106,34,2,MAPK7  RAF1,1,0,1
REACTOME_SIGNALLING_TO_ERKS,0.0005284,36,2,RAF1  RALGDS,1,0,1
BIOCARTA_IL2RB_PATHWAY,0.000588959,38,2,MYC  RAF1,1,0,1
PID_CERAMIDE_PATHWAY,0.000939681,48,2,MYC  RAF1,1,0,1
REACTOME_SIGNALLING_BY_NGF,0.00107366,217,3,MAPK7  RAF1  RALGDS,1,0,1
KEGG_ENDOMETRIAL_CANCER,0.001102127,52,2,MYC  RAF1,1,0,1
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.001188054,54,2,RAF1  RASSF1,1,0,1
PID_IL2_1PATHWAY,0.001232189,55,2,MYC  RAF1,1,0,1
KEGG_ACUTE_MYELOID_LEUKEMIA,0.001464521,60,2,MYC  RAF1,1,0,1
PID_MYC_REPRESSPATHWAY,0.001613197,63,2,DNMT3A  MYC,1,0,1
KEGG_PANCREATIC_CANCER,0.001986931,70,2,RAF1  RALGDS,1,0,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.00215851,73,2,MYC  RAF1,1,0,1
KEGG_ERBB_SIGNALING_PATHWAY,0.003048448,87,2,MYC  RAF1,1,0,1
KEGG_GAP_JUNCTION,0.003258046,90,2,MAPK7  RAF1,1,0,1
