pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
PID_INTEGRIN1_PATHWAY,7.22E-13,66,7,COL2A1  COL4A6  COL6A2  FN1  ITGA1  ITGA11  TGFBI,1,1,2
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,3.00E-10,79,6,COL2A1  FN1  ICAM2  ITGA1  ITGA11  ITGAL,1,1,2
KEGG_ECM_RECEPTOR_INTERACTION,4.36E-10,84,6,COL2A1  COL4A6  COL6A2  FN1  ITGA1  ITGA11,1,1,2
KEGG_FOCAL_ADHESION,8.37E-08,201,6,COL2A1  COL4A6  COL6A2  FN1  ITGA1  ITGA11,1,1,2
PID_AVB3_INTEGRIN_PATHWAY,1.53E-06,75,4,COL2A1  COL4A6  COL6A2  FN1,1,1,2
PID_INTEGRIN_CS_PATHWAY,3.39E-06,26,3,ITGA1  ITGA11  ITGAL,1,1,2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,4.03E-06,216,5,FN1  ITGA1  ITGA11  ITGAL  MSN,1,1,2
PID_INTEGRIN2_PATHWAY,4.76E-06,29,3,ICAM2  ITGAL  TGFBI,1,1,2
PID_INTEGRIN3_PATHWAY,1.59E-05,43,3,COL4A6  FN1  TGFBI,1,1,2
PID_SYNDECAN_1_PATHWAY,1.95E-05,46,3,COL2A1  COL4A6  COL6A2,1,1,2
REACTOME_COLLAGEN_FORMATION,3.93E-05,58,3,COL2A1  COL4A6  COL6A2,1,0,2
REACTOME_L1CAM_INTERACTIONS,0.000127748,86,3,ITGA1  MSN  RANBP9,1,0,2
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.000132211,87,3,COL2A1  COL4A6  COL6A2,1,0,2
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.000325285,118,3,ITGAL  MSN  RASSF5,1,0,2
PID_LYMPHANGIOGENESIS_PATHWAY,0.000373458,25,2,FN1  ITGA1,1,0,2
REACTOME_NCAM1_INTERACTIONS,0.000913455,39,2,COL2A1  COL6A2,1,0,2
