pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community 
BIOCARTA_PTDINS_PATHWAY,3.53E-05,23,2,PRKCZ  RPS6KB1,1,1,6
PID_IGF1_PATHWAY,6.06E-05,30,2,PRKCZ  RPS6KB1,1,0,6
PID_IL2_PI3KPATHWAY,7.80E-05,34,2,PRKCZ  RPS6KB1,1,0,6
PID_INSULIN_PATHWAY,0.000137419,45,2,PRKCZ  RPS6KB1,1,0,6
PID_CDC42_PATHWAY,0.000333547,70,2,PRKCZ  RPS6KB1,1,0,6
KEGG_INSULIN_SIGNALING_PATHWAY,0.001269525,137,2,PRKCZ  RPS6KB1,1,0,6
BIOCARTA_IL4_PATHWAY,0.004392307,11,1,RPS6KB1,1,0,6
REACTOME_MTORC1_MEDIATED_SIGNALLING,0.004392307,11,1,RPS6KB1,1,0,6
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.006383223,16,1,PRKCZ,1,0,6
BIOCARTA_IGF1MTOR_PATHWAY,0.007973447,20,1,RPS6KB1,1,0,6
BIOCARTA_NDKDYNAMIN_PATHWAY,0.008370654,21,1,PICALM,1,0,6
BIOCARTA_CTCF_PATHWAY,0.009164653,23,1,RPS6KB1,1,0,6
BIOCARTA_MTOR_PATHWAY,0.009164653,23,1,RPS6KB1,1,0,6
BIOCARTA_RAC1_PATHWAY,0.009164653,23,1,RPS6KB1,1,0,6
BIOCARTA_EIF4_PATHWAY,0.009561443,24,1,RPS6KB1,1,0,6
PID_INSULIN_GLUCOSE_PATHWAY,0.010354607,26,1,PRKCZ,1,0,6
PID_RXR_VDR_PATHWAY,0.010354607,26,1,RPS6KB1,1,0,6
ST_INTERLEUKIN_4_PATHWAY,0.010354607,26,1,RPS6KB1,1,0,6
REACTOME_PKB_MEDIATED_EVENTS,0.01154331,29,1,RPS6KB1,1,0,6
KEGG_ASTHMA,0.011939267,30,1,PRG2,1,0,6
PID_RAS_PATHWAY,0.011939267,30,1,PRKCZ,1,0,6
PID_NEPHRIN_NEPH1_PATHWAY,0.012335085,31,1,PRKCZ,1,0,6
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,0.012335085,31,1,PRKCZ,1,0,6
PID_WNT_NONCANONICAL_PATHWAY,0.012730765,32,1,PRKCZ,1,0,6
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,0.013126305,33,1,MCFD2,1,0,6
PID_IL1PATHWAY,0.013521707,34,1,PRKCZ,1,0,6
