pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.007179329,24,1,NADK,1,0
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,0.008967434,30,1,CLASP1,1,0
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS,0.013129245,44,1,RAB11FIP2,1,0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.015204682,51,1,RAB11FIP2,1,0
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.015204682,51,1,NADK,1,0
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES,0.017572155,59,1,CLASP1,1,0
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,0.019639802,66,1,CLASP1,1,0
REACTOME_MITOTIC_G2_G2_M_PHASES,0.024058264,81,1,CLASP1,1,0
REACTOME_MITOTIC_PROMETAPHASE,0.025820996,87,1,CLASP1,1,0
REACTOME_MITOTIC_M_M_G1_PHASES,0.050509418,172,1,CLASP1,1,0
KEGG_ENDOCYTOSIS,0.053665934,183,1,RAB11FIP2,1,0
REACTOME_DNA_REPLICATION,0.05624203,192,1,CLASP1,1,0
