pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
KEGG_RNA_DEGRADATION,0.000554029,59,2,ENO3  RQCD1,1,0,3
PID_TCRJNKPATHWAY,0.008370028,14,1,CRKL,1,0,3
BIOCARTA_41BB_PATHWAY,0.01015523,17,1,MAP4K5,1,0,3
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION,0.01015523,17,1,ASNS,1,0,3
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,0.010749642,18,1,CRKL,1,0,3
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.012530916,21,1,SEC23A,1,0,3
PID_PDGFRAPATHWAY,0.01312402,22,1,CRKL,1,0,3
REACTOME_DEADENYLATION_OF_MRNA,0.01312402,22,1,RQCD1,1,0,3
BIOCARTA_GLEEVEC_PATHWAY,0.013716797,23,1,CRKL,1,0,3
KEGG_NITROGEN_METABOLISM,0.013716797,23,1,ASNS,1,0,3
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,0.013716797,23,1,ANK3,1,0,3
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.014901374,25,1,ETV6,1,0,3
REACTOME_ACTIVATION_OF_GENES_BY_ATF4,0.015493173,26,1,ASNS,1,0,3
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.016084646,27,1,MIB2,1,0,3
PID_REELINPATHWAY,0.017266615,29,1,CRKL,1,0,3
REACTOME_GLYCOLYSIS,0.017266615,29,1,ENO3,1,0,3
REACTOME_PERK_REGULATED_GENE_EXPRESSION,0.017266615,29,1,ASNS,1,0,3
PID_IGF1_PATHWAY,0.017857111,30,1,CRKL,1,0,3
BIOCARTA_PYK2_PATHWAY,0.018447282,31,1,CRKL,1,0,3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.019037128,32,1,ASNS,1,0,3
