pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
REACTOME_ACTIVATION_OF_RAC,9.54E-06,14,2,GPC1  SLIT2,1,1,4
PID_GLYPICAN_1PATHWAY,3.67E-05,27,2,GPC1  SLIT2,1,1,4
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,4.55E-05,30,2,GPC1  SLIT2,1,0,4
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.000319393,79,2,NDUFA4  NDUFA5,1,0,4
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,0.00049116,98,2,NDUFA4  NDUFA5,1,0,4
KEGG_PARKINSONS_DISEASE,0.000901805,133,2,NDUFA4  NDUFA5,1,0,4
KEGG_OXIDATIVE_PHOSPHORYLATION,0.000928924,135,2,NDUFA4  NDUFA5,1,0,4
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.001012637,141,2,NDUFA4  NDUFA5,1,0,4
KEGG_ALZHEIMERS_DISEASE,0.001449674,169,2,NDUFA4  NDUFA5,1,0,4
KEGG_HUNTINGTONS_DISEASE,0.001733414,185,2,NDUFA4  NDUFA5,1,0,4
REACTOME_HS_GAG_DEGRADATION,0.006980079,20,1,GPC1,1,0,4
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER,0.00802348,23,1,GTF3C4,1,0,4
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.008718559,25,1,GPC1,1,0,4
REACTOME_HS_GAG_BIOSYNTHESIS,0.01080129,31,1,GPC1,1,0,4
REACTOME_RNA_POL_III_TRANSCRIPTION,0.0114947,33,1,GTF3C4,1,0,4
REACTOME_NETRIN1_SIGNALING,0.014264175,41,1,SLIT2,1,0,4
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.017026996,49,1,GPC1,1,0,4
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,0.018061342,52,1,GPC1,1,0,4
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.018750387,54,1,P4HA1,1,0,4
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.038214735,111,1,GPC1,1,0,4
REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION,0.041932661,122,1,GTF3C4,1,0,4
KEGG_AXON_GUIDANCE,0.044292195,129,1,SLIT2,1,0,4
REACTOME_TRANSCRIPTION,0.071235195,210,1,GTF3C4,1,0,4
REACTOME_METABOLISM_OF_CARBOHYDRATES,0.083324185,247,1,GPC1,1,0,4
