pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,2.31E-05,56,2,NFKBIA  TBK1,1,1,10
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,3.72E-05,71,2,NFKBIA  TBK1,1,1,10
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,3.93E-05,73,2,NFKBIA  TBK1,1,0,10
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING,4.04E-05,74,2,NFKBIA  TBK1,1,0,10
REACTOME_ACTIVATED_TLR4_SIGNALLING,6.40E-05,93,2,NFKBIA  TBK1,1,0,10
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,7.70E-05,102,2,NFKBIA  TBK1,1,0,10
REACTOME_TOLL_RECEPTOR_CASCADES,0.00010315,118,2,NFKBIA  TBK1,1,0,10
BIOCARTA_RNA_PATHWAY,0.001499325,10,1,NFKBIA,1,0,10
BIOCARTA_EPONFKB_PATHWAY,0.001649175,11,1,NFKBIA,1,0,10
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,0.001649175,11,1,NFKBIA,1,0,10
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.002098635,14,1,TBK1,1,0,10
REACTOME_P75NTR_SIGNALS_VIA_NFKB,0.002098635,14,1,NFKBIA,1,0,10
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,0.002098635,14,1,TBK1,1,0,10
BIOCARTA_CD40_PATHWAY,0.002248425,15,1,NFKBIA,1,0,10
BIOCARTA_CDMAC_PATHWAY,0.0023982,16,1,NFKBIA,1,0,10
BIOCARTA_RELA_PATHWAY,0.0023982,16,1,NFKBIA,1,0,10
BIOCARTA_41BB_PATHWAY,0.00254796,17,1,NFKBIA,1,0,10
PID_NFKAPPABATYPICALPATHWAY,0.00254796,17,1,NFKBIA,1,0,10
BIOCARTA_TNFR2_PATHWAY,0.002697705,18,1,NFKBIA,1,0,10
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,0.002697705,18,1,NFKBIA,1,0,10
BIOCARTA_TID_PATHWAY,0.002847436,19,1,NFKBIA,1,0,10
BIOCARTA_ATM_PATHWAY,0.002997151,20,1,NFKBIA,1,0,10
