"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"KEGG_ENDOCYTOSIS",0.00121376605778664,183,6,"ACAP3  ADRBK1  GIT2  IQSEC2  IQSEC3  PIKFYVE",1,0
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP",0.00357068894242384,14,2,"GATA4  ISL1",1,0
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",0.00526935605431374,17,2,"SLC6A1  SLC6A7",1,0
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION",0.00876386818442203,22,2,"GATA4  ISL1",1,0
"REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS",0.0130400563945735,27,2,"SLC6A1  SLC6A7",1,0
"KEGG_GLYCEROLIPID_METABOLISM",0.0398628774930999,49,2,"GLYCTK  MBOAT2",1,0
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.0475135221462454,54,2,"IMPA2  PIKFYVE",1,0
"BIOCARTA_HIVNEF_PATHWAY",0.0539859518966647,58,2,"CDK11A  CDK11B",1,0
"PID_FAK_PATHWAY",0.0556503512474923,59,2,"GIT2  PTPN21",1,0
"PID_AR_PATHWAY",0.0590325944323577,61,2,"CDK11B  ZMIZ1",1,0
"BIOCARTA_RNA_PATHWAY",0.0626734228836711,10,1,"DNAJC3",1,0
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION",0.0626734228836711,10,1,"AP1S2",1,0
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE",0.0626734228836711,10,1,"PIKFYVE",1,0
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",0.0687222036964776,11,1,"PANK4",1,0
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.0747322510086573,12,1,"PIKFYVE",1,0
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.0807038109256015,13,1,"BHLHE41",1,0
