ID	Gene Name	Species	KEGG_PATHWAY
HTR7	5-hydroxytryptamine receptor 7(HTR7)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,
ADPGK	ADP dependent glucokinase(ADPGK)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,
ARF5	ADP ribosylation factor 5(ARF5)	Homo sapiens	hsa04144:Endocytosis,
AKT1	AKT serine/threonine kinase 1(AKT1)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04210:Apoptosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04370:VEGF signaling pathway,hsa04380:Osteoclast differentiation,hsa04510:Focal adhesion,hsa04530:Tight junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04611:Platelet activation,hsa04620:Toll-like receptor signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04668:TNF signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04922:Glucagon signaling pathway,hsa04923:Regulation of lipolysis in adipocytes,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04973:Carbohydrate digestion and absorption,hsa05142:Chagas disease (American trypanosomiasis),hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05230:Central carbon metabolism in cancer,hsa05231:Choline metabolism in cancer,
AKT3	AKT serine/threonine kinase 3(AKT3)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04210:Apoptosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04370:VEGF signaling pathway,hsa04380:Osteoclast differentiation,hsa04510:Focal adhesion,hsa04530:Tight junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04611:Platelet activation,hsa04620:Toll-like receptor signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04668:TNF signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04922:Glucagon signaling pathway,hsa04923:Regulation of lipolysis in adipocytes,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04973:Carbohydrate digestion and absorption,hsa05142:Chagas disease (American trypanosomiasis),hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05230:Central carbon metabolism in cancer,hsa05231:Choline metabolism in cancer,
ASH1L	ASH1 like histone lysine methyltransferase(ASH1L)	Homo sapiens	hsa00310:Lysine degradation,hsa04530:Tight junction,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	hsa02010:ABC transporters,
ABCC9	ATP binding cassette subfamily C member 9(ABCC9)	Homo sapiens	hsa02010:ABC transporters,
AGFG1	ArfGAP with FG repeats 1(AGFG1)	Homo sapiens	hsa05164:Influenza A,
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1(AGAP1)	Homo sapiens	hsa04144:Endocytosis,
BCL3	B-cell CLL/lymphoma 3(BCL3)	Homo sapiens	hsa04668:TNF signaling pathway,
BAIAP3	BAI1 associated protein 3(BAIAP3)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
BAG1	BCL2 associated athanogene 1(BAG1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
BRIP1	BRCA1 interacting protein C-terminal helicase 1(BRIP1)	Homo sapiens	hsa03460:Fanconi anemia pathway,
BRCA1	BRCA1, DNA repair associated(BRCA1)	Homo sapiens	hsa03460:Fanconi anemia pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04151:PI3K-Akt signaling pathway,hsa05206:MicroRNAs in cancer,
BRCA2	BRCA2, DNA repair associated(BRCA2)	Homo sapiens	hsa03440:Homologous recombination,hsa03460:Fanconi anemia pathway,hsa05200:Pathways in cancer,hsa05212:Pancreatic cancer,
BTG1	BTG anti-proliferation factor 1(BTG1)	Homo sapiens	hsa03018:RNA degradation,
BTG2	BTG anti-proliferation factor 2(BTG2)	Homo sapiens	hsa03018:RNA degradation,
BUB1	BUB1 mitotic checkpoint serine/threonine kinase(BUB1)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04914:Progesterone-mediated oocyte maturation,
BLM	Bloom syndrome RecQ like helicase(BLM)	Homo sapiens	hsa03440:Homologous recombination,hsa03460:Fanconi anemia pathway,
CCL18	C-C motif chemokine ligand 18(CCL18)	Homo sapiens	hsa04062:Chemokine signaling pathway,
CXCL14	C-X-C motif chemokine ligand 14(CXCL14)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,
CTBP1	C-terminal binding protein 1(CTBP1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa05200:Pathways in cancer,hsa05220:Chronic myeloid leukemia,
CTBP2	C-terminal binding protein 2(CTBP2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa05200:Pathways in cancer,hsa05220:Chronic myeloid leukemia,
CEBPB	CCAAT/enhancer binding protein beta(CEBPB)	Homo sapiens	hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05202:Transcriptional misregulation in cancer,
CEBPE	CCAAT/enhancer binding protein epsilon(CEBPE)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
CEBPG	CCAAT/enhancer binding protein gamma(CEBPG)	Homo sapiens	hsa05152:Tuberculosis,
